1	4.096134
2	1.404001
3	0.467976
4	0.392345
5	0.322312
6	0.278343
7	0.237889
8	0.221367
9	0.213315
10	0.205244
11	0.200846
12	0.193999
13	0.188569
14	0.182634
15	0.181732
16	0.181024
17	0.175776
18	0.172663
19	0.171174
20	0.169029
21	0.171532
22	0.169303
23	0.165493
24	0.163860
25	0.162088
26	0.162273
27	0.161783
28	0.159679
29	0.157992
30	0.159603
31	0.159744
32	0.157075
33	0.156829
34	0.159089
35	0.155448
36	0.155927
37	0.153958
38	0.154007
39	0.150764
40	0.154169
41	0.154595
42	0.153248
43	0.152312
44	0.153932
45	0.152669
46	0.149532
47	0.150640
48	0.151297
49	0.150248
50	0.146332
51	0.150856
52	0.148370
53	0.145128
54	0.149137
55	0.147987
56	0.147103
57	0.147416
58	0.145865
59	0.144407
60	0.144213
61	0.145381
62	0.143802
63	0.143909
64	0.143203
65	0.142225
66	0.142442
67	0.144348
68	0.143455
69	0.141699
70	0.142438
71	0.143152
72	0.140469
73	0.141723
74	0.140520
75	0.140604
76	0.141692
77	0.139972
78	0.139987
79	0.139923
80	0.139664
81	0.138562
82	0.141227
83	0.138304
84	0.139570
85	0.138538
86	0.137958
87	0.138488
88	0.138409
89	0.137775
90	0.137151
91	0.139234
92	0.135628
93	0.139104
94	0.137250
95	0.136226
96	0.137463
97	0.135715
98	0.133526
99	0.137482
100	0.137651
101	0.137898
102	0.135870
103	0.135134
104	0.136960
105	0.136485
106	0.135259
107	0.134273
108	0.134154
109	0.135367
110	0.135886
111	0.135863
112	0.136017
113	0.135355
114	0.134168
115	0.132254
116	0.134850
117	0.133981
118	0.134757
119	0.133455
120	0.143684
121	0.135354
122	0.133236
123	0.134091
124	0.133773
125	0.132458
126	0.132474
127	0.133157
128	0.134609
129	0.131673
130	0.132526
131	0.132729
132	0.131422
133	0.130779
134	0.132203
135	0.131227
136	0.132599
137	0.131950
138	0.130793
139	0.132724
140	0.130608
141	0.132845
142	0.131237
143	0.131407
144	0.132387
145	0.130990
146	0.131263
147	0.130779
148	0.132885
149	0.129771
150	0.131263
151	0.131484
152	0.131174
153	0.133543
154	0.131557
155	0.130638
156	0.131751
157	0.129671
158	0.128558
159	0.128469
160	0.130095
161	0.130885
162	0.127558
163	0.127253
164	0.130080
165	0.130089
166	0.129775
167	0.130842
168	0.130994
169	0.127999
170	0.128871
171	0.128130
172	0.130953
173	0.128611
174	0.127712
175	0.129012
176	0.129607
177	0.126878
178	0.127086
179	0.127516
180	0.128072
181	0.128274
182	0.127145
183	0.127813
184	0.128814
185	0.126675
