subject_id,all_instance_tp_et,all_instance_fp_et,all_instance_fn_et,all_instance_f1_et,global_dsc_et,global_nsd_et,global_hd95_et,all_instance_tp_rc,all_instance_fp_rc,all_instance_fn_rc,all_instance_f1_rc,global_dsc_rc,global_nsd_rc,global_hd95_rc,all_instance_tp_tc,all_instance_fp_tc,all_instance_fn_tc,all_instance_f1_tc,global_dsc_tc,global_nsd_tc,global_hd95_tc,all_instance_tp_wt,all_instance_fp_wt,all_instance_fn_wt,all_instance_f1_wt,global_dsc_wt,global_nsd_wt,global_hd95_wt
BraTS-MET-00132-000-seg.nii.gz,6.0,1.0,2.0,0.8,0.6840802390098165,0.32470764194847074,33.52610922848042,0.0,0.0,0.0,,,,,6.0,1.0,2.0,0.8,0.6887811516543336,0.32665376547404495,33.54101966249684,6.0,1.0,1.0,0.8571428571428571,0.7564775269473256,0.2775753581218645,31.843366656181317
BraTS-MET-00217-000-seg.nii.gz,27.0,7.0,7.0,0.7941176470588235,0.7913234934355378,0.47352755150197556,2.8284271247461903,0.0,0.0,0.0,,,,,27.0,7.0,7.0,0.7941176470588235,0.896434730979106,0.4511123707893738,2.23606797749979,14.0,9.0,7.0,0.6363636363636364,0.8260158633312996,0.242283197832119,5.0
BraTS-MET-00630-001-seg.nii.gz,12.0,0.0,0.0,1.0,0.9147945524385985,0.6672650104726509,1.0,0.0,0.0,0.0,,,,,12.0,0.0,0.0,1.0,0.9266599484940097,0.6677642936058555,1.0,11.0,0.0,0.0,1.0,0.9275450621985275,0.6142012647654954,1.4142135623730951
BraTS-MET-01325-000-seg.nii.gz,1.0,0.0,1.0,0.6666666666666666,0.9721611721611721,0.7633228476326643,1.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,0.6666666666666666,0.9751643535427319,0.7860665654133312,1.0,1.0,0.0,0.0,1.0,0.9854805103820593,0.6970991135686064,1.0
mean,11.5,2.0,2.5,0.8151960784313725,0.8405898642612812,0.5572057628889404,9.588634088306653,0.0,0.0,0.0,,,,,11.5,2.0,2.5,0.8151960784313725,0.8717600461675453,0.5578992488206513,9.44427190999916,8.0,2.5,2.0,0.8733766233766234,0.873879740714803,0.4577897335720213,9.814395054638602
std,11.269427669584644,3.366501646120693,3.1091263510296048,0.13770584186970508,0.12876306781666133,0.19634553717338454,15.981576739924156,0.0,0.0,0.0,,,,,11.269427669584644,3.366501646120693,3.1091263510296048,0.13770584186970508,0.12622277391847625,0.20737129608075117,16.075062595627255,5.715476066494082,4.358898943540674,3.366501646120693,0.17176112306918376,0.10232127357163319,0.23141149100692254,14.795388908327052
median,9.0,0.5,1.5,0.7970588235294118,0.8530590229370681,0.5703962809873132,1.9142135623730951,0.0,0.0,0.0,,,,,9.0,0.5,1.5,0.7970588235294118,0.9115473397365579,0.5594383321976146,1.618033988749895,8.5,0.5,0.5,0.9285714285714286,0.8767804627649136,0.44588831144367996,3.2071067811865475
