source_case_id,modality,region,voxel_count,mse,mae,psnr,ssim,contrast_reference,contrast_generated,contrast_abs_error
BraTS-MET-00006-000,t1c,support,844142,1.4121513807440154,0.7287796294576345,14.064212457669122,0.5751024373655007,-0.03435615077614784,0.12573833763599396,0.1600944884121418
BraTS-MET-00006-000,t1c,tumour_all,148609,3.6642168634514527,1.2153384689970537,9.923213316739908,0.8783717351225117,0.33303201850503683,1.046585445292294,0.7135534267872572
BraTS-MET-00006-000,t1c,NETC,310,8.709412002178519,2.3278762872075482,6.163136652578144,0.9606282808459996,-0.3660514419898391,1.9236855367198586,2.2897369787096977
BraTS-MET-00006-000,t1c,SNFH,85738,0.6865375011392012,0.6182670916156097,17.196382358252524,0.8331479100812793,-0.36606892695999704,-0.2500875471159816,0.11598137984401546
BraTS-MET-00006-000,t1c,ET,62561,7.720038584218743,2.0280943237673577,6.686830298523525,0.9394667285256859,1.285616222769022,2.794198545627296,1.508582322858274
BraTS-MET-00006-000,t1c,RC,0,,,,,,,
BraTS-MET-00006-000,t1n,support,844142,1.6792088556939087,0.9042486396851029,13.311977848351201,0.563396527571468,-0.026671970263123512,0.047504447400569916,0.07417641766369343
BraTS-MET-00006-000,t1n,tumour_all,148609,2.1328573570106606,1.12709247661502,12.273406894503697,0.8664927018839529,0.14839229313656688,-0.1355747519992292,0.28396704513579607
BraTS-MET-00006-000,t1n,NETC,310,2.1105221433870565,1.1368908700122942,12.319125876787272,0.9767176995018655,-0.3671084332745522,-1.103324316907674,0.7362158836331218
BraTS-MET-00006-000,t1n,SNFH,85738,1.872759680432969,1.062373061155148,12.838204501182162,0.8206986213405711,0.1494487184099853,0.39880128152435645,0.24935256311437115
BraTS-MET-00006-000,t1n,ET,62561,2.4894242039383223,1.2157399685148518,11.60203593016809,0.9318647571324021,0.1466257879510522,-0.8585329037159681,1.0051586916670203
BraTS-MET-00006-000,t1n,RC,0,,,,,,,
BraTS-MET-00006-000,t2w,support,844142,1.2909326481112933,0.7980226051163457,14.45398916375881,0.5660429796243555,-0.011601760052144527,0.11432920396327972,0.12593096401542425
BraTS-MET-00006-000,t2w,tumour_all,148609,1.5369597175759673,0.9775535431506588,13.696400156121943,0.8657335615993716,0.5327627500519156,0.3682291805744171,0.16453356947749853
BraTS-MET-00006-000,t2w,NETC,310,3.116735503530609,1.4241588326681767,10.62602552590896,0.972142609370928,0.5953137567266822,-0.24697399605065584,0.842287752777338
BraTS-MET-00006-000,t2w,SNFH,85738,1.5914927068919793,1.0041319084008196,13.544978479854628,0.8202282217881511,0.6869593188166618,0.6687642326578498,0.018195086158812046
BraTS-MET-00006-000,t2w,ET,62561,1.4543958210330383,0.9389156773945373,13.936198827613001,0.9318062958673642,0.31128839403390884,-0.04668192192912102,0.35797031596302986
BraTS-MET-00006-000,t2w,RC,0,,,,,,,
BraTS-MET-00006-000,t2f,support,844142,1.6905108499882593,0.9057540040091374,13.28284538280165,0.5713304654703936,-0.0065292054787278175,0.3230869472026825,0.3296161526814103
BraTS-MET-00006-000,t2f,tumour_all,148609,3.873499546885474,1.5136018255317416,9.681989912674746,0.8930638049928533,0.9721228182315826,2.25584739074111,1.2837245725095272
BraTS-MET-00006-000,t2f,NETC,310,5.521304568713422,1.9591024841553712,8.142607962166629,0.9664079508772079,0.055631094437558204,1.461618509143591,1.4059874147060327
BraTS-MET-00006-000,t2f,SNFH,85738,4.348427691265352,1.5565655373223006,9.179702480527217,0.869454584442664,1.2099438169971108,2.539954885840416,1.330011068843305
BraTS-MET-00006-000,t2f,ET,62561,3.214459429246553,1.4525138006332867,10.491945520091894,0.9427506685591098,0.6326575940474868,1.82746022939682,1.1948026353493333
BraTS-MET-00006-000,t2f,RC,0,,,,,,,
BraTS-MET-00009-000,t1c,support,540270,1.3859390750197058,0.7723364242314259,14.14558361374841,0.07757410440126984,-0.0006806033779866993,0.05306801199913025,0.05374861537711695
BraTS-MET-00009-000,t1c,tumour_all,97361,2.865390267160872,1.1858314864911959,10.991187193743315,0.636997065351369,0.3579867142252624,0.47667796444147825,0.11869125021621585
BraTS-MET-00009-000,t1c,NETC,12407,3.0195202028064876,1.322977863989427,10.763645610643742,0.6420865777047895,-0.37194862560136244,-0.580983773805201,0.20903514820383862
BraTS-MET-00009-000,t1c,SNFH,50811,0.9991322263743857,0.7673947070896185,15.566795336777107,0.6941003593376749,-0.2017068099230528,-0.20855343015864491,0.006846620235592127
BraTS-MET-00009-000,t1c,ET,34143,5.586713736066564,1.7587048746689482,8.09146082142359,0.6982793515273773,1.4486706461757421,1.8710362175479531,0.422365571372211
BraTS-MET-00009-000,t1c,RC,0,,,,,,,
BraTS-MET-00009-000,t1n,support,540270,1.703640656570642,0.9588261310280616,13.249245050115057,0.05180601570903349,0.0004575743223540485,0.04272785037755966,0.04227027605520561
BraTS-MET-00009-000,t1n,tumour_all,97361,1.7629726718452137,1.048078740617118,13.100569204922486,0.6120814710594494,-0.03568374674068764,0.062422498944215477,0.09810624568490312
BraTS-MET-00009-000,t1n,NETC,12407,2.9539512279894673,1.414871697141742,10.858991802686436,0.6750105546235007,-0.30046345776645467,-0.49547226214781404,0.19500880438135937
BraTS-MET-00009-000,t1n,SNFH,50811,1.539484495675707,0.9879536991891077,13.689271813354056,0.7021186482603535,0.12361997965490445,0.36694260040530935,0.2433226207504049
BraTS-MET-00009-000,t1n,ET,34143,1.662781908680495,1.0042692706934915,13.354672100972751,0.6364352847877478,-0.17520527791930363,-0.18783087190240622,0.01262559398310259
BraTS-MET-00009-000,t1n,RC,0,,,,,,,
BraTS-MET-00009-000,t2w,support,540270,1.3795367680243775,0.8385325082782459,14.165692207891249,0.07087021822856714,-0.04261317104101181,0.09859353303909302,0.14120670408010483
BraTS-MET-00009-000,t2w,tumour_all,97361,1.6069359617025019,0.9622188965819187,13.503039308075437,0.6115743779055,0.47404935164377093,0.5718369523820002,0.09778760073822923
BraTS-MET-00009-000,t2w,NETC,12407,2.3274618638867173,1.2398845660173405,11.894199270921018,0.7689533413198154,1.9093102598562837,1.4119989057071507,0.49731135414913297
BraTS-MET-00009-000,t2w,SNFH,50811,1.6162228659937856,0.9334090576984475,13.478012539836099,0.6878451357743327,0.1455848002806306,0.5391720852348953,0.39358728495426476
BraTS-MET-00009-000,t2w,ET,34143,1.3312881931307894,0.9041940822077505,14.320304203953555,0.6633883372465894,0.43041622964665294,0.3038065112195909,0.12660971842706203
BraTS-MET-00009-000,t2w,RC,0,,,,,,,
BraTS-MET-00009-000,t2f,support,540270,1.5698447084735052,0.8820864030884854,13.604458073317351,0.09439828983326683,-0.011746799573302269,0.2778848111629486,0.2896316107362509
BraTS-MET-00009-000,t2f,tumour_all,97361,3.269349790739629,1.3087270613445812,10.418411121351777,0.6922903672539519,1.2698554936796427,1.9179958859458566,0.6481403922662139
BraTS-MET-00009-000,t2f,NETC,12407,3.0944723889137915,1.4146168524993894,10.657158888057925,0.841492940588301,2.5238700904883444,1.7962724501267076,0.7275976403616369
BraTS-MET-00009-000,t2f,SNFH,50811,4.152781517708804,1.4530615316098083,9.379634177550336,0.7825591874139525,1.0343275121413171,2.14004227751866,1.1057147653773427
BraTS-MET-00009-000,t2f,ET,34143,2.0181900931565955,1.0554524982568565,12.51340430778762,0.7784559753321258,1.1395804909989238,1.5972796278074384,0.4576991368085146
BraTS-MET-00009-000,t2f,RC,0,,,,,,,
BraTS-MET-00014-000,t1c,support,748118,1.4491135010912806,0.7896581750488924,13.95200098065497,0.6278445921434356,0.012585384771227837,0.04055633768439293,0.027970952913165092
BraTS-MET-00014-000,t1c,tumour_all,114933,2.5357737983352733,0.9627275898493886,11.521919907201653,0.895909247597115,0.44605277478694916,0.20458664593752474,0.24146612884942442
BraTS-MET-00014-000,t1c,NETC,249,3.0490483464315763,1.3212382652750987,10.721381900713101,0.9935963856173305,0.04852248670067638,0.5558047518134117,0.5072822651127353
BraTS-MET-00014-000,t1c,SNFH,92346,0.6906304147487671,0.6090239984284876,17.170568003902574,0.8798810308758804,-0.05428830592427403,-0.12351200170814991,0.06922369578387588
BraTS-MET-00014-000,t1c,ET,22338,10.157933595013738,2.4209531559329025,5.494971313585211,0.9630022945980826,2.49328226596117,1.5420679731469136,0.9512142928142566
BraTS-MET-00014-000,t1c,RC,0,,,,,,,
BraTS-MET-00014-000,t1n,support,748118,1.6648321552194867,0.9475519310635319,13.349320453492012,0.6222125965397759,-0.021130792796611786,-0.018231451511383057,0.0028993412852287292
BraTS-MET-00014-000,t1n,tumour_all,114933,1.2758403664745894,0.8895080256460495,14.505061620374722,0.8923257429734172,0.20529408007860184,0.06481896643526852,0.14047511364333332
BraTS-MET-00014-000,t1n,NETC,249,1.0801334545804218,0.8272830040444691,15.22825083236622,0.995187401443174,-0.5365263548446819,-0.07903826236724854,0.4574880924774334
BraTS-MET-00014-000,t1n,SNFH,92346,1.325228817964151,0.910201713356546,14.3401162943819,0.8772138712120354,0.25571617018431425,0.10766049334779382,0.14805567683652043
BraTS-MET-00014-000,t1n,ET,22338,1.0738484728317632,0.804653282386369,15.25359496923059,0.9620951727605394,0.002459086652379483,-0.11065228038933128,0.11311136704171076
BraTS-MET-00014-000,t1n,RC,0,,,,,,,
BraTS-MET-00014-000,t2w,support,748118,1.429749562426068,0.8670265666322584,14.010425284641032,0.6303513450296251,0.02685784548521042,0.0501619353890419,0.023304089903831482
BraTS-MET-00014-000,t2w,tumour_all,114933,2.299231954271263,1.158635808624402,11.947197141963224,0.8973857291554861,1.1134684896096587,0.2607202408253215,0.8527482487843372
BraTS-MET-00014-000,t2w,NETC,249,10.23842878265761,2.799842613796894,5.460691870355081,0.9919079410073549,2.541181278647855,-0.0826099026016891,2.623791181249544
BraTS-MET-00014-000,t2w,SNFH,92346,1.8057360046517201,1.0356158695696427,12.996482432192218,0.8843417904010246,1.023437320254743,0.3094470390351489,0.7139902812195942
BraTS-MET-00014-000,t2w,ET,22338,4.250862223467171,1.6489097273934428,9.278254716782193,0.9596530141298468,1.4433691664598882,0.059220194816589355,1.3841489716432989
BraTS-MET-00014-000,t2w,RC,0,,,,,,,
BraTS-MET-00014-000,t2f,support,748118,1.4259801406226722,0.8557842985742771,14.021890235530151,0.6368152592515175,0.03290904685854912,0.2861241400241852,0.25321509316563606
BraTS-MET-00014-000,t2f,tumour_all,114933,2.0556546770133837,1.0400910992455004,12.433523400858334,0.9281702267439401,1.4183665262535214,1.6148742134682834,0.19650768721476197
BraTS-MET-00014-000,t2f,NETC,249,2.223254518026846,1.2610407085048791,12.093133172193093,0.9956770759993572,1.514996888814494,0.4304268844425678,1.0845700043719262
BraTS-MET-00014-000,t2f,SNFH,92346,2.1613198482246596,1.050433058990442,12.215834589927157,0.9290957318668475,1.440911159850657,1.7685083891265094,0.32759722927585244
BraTS-MET-00014-000,t2f,ET,22338,1.6169632874042483,0.9948742012549919,13.476023412559092,0.9709444764039463,1.2949966801679693,0.9640202429145575,0.33097643725341186
BraTS-MET-00014-000,t2f,RC,0,,,,,,,
BraTS-MET-00016-000,t1c,support,1864262,1.286764342392175,0.7898272116533334,14.468034831323813,0.32630907410656723,0.04496762529015541,0.06524854153394699,0.02028091624379158
BraTS-MET-00016-000,t1c,tumour_all,288858,1.544168041072905,0.8398346851011134,13.67607940946562,0.803593680520334,-0.021522930823266506,0.12961999606341124,0.15114292688667774
BraTS-MET-00016-000,t1c,NETC,0,,,,,,,
BraTS-MET-00016-000,t1c,SNFH,279740,1.0255072072845126,0.7594151595171178,15.453637838221471,0.8049248987430826,-0.07560131419450045,-0.0005580000579357147,0.07504331413656473
BraTS-MET-00016-000,t1c,ET,9118,17.456668769737632,3.3071036132505847,3.143411292643605,0.975339449483266,1.5886085131205618,3.9941619792953134,2.4055534661747515
BraTS-MET-00016-000,t1c,RC,0,,,,,,,
BraTS-MET-00016-000,t1n,support,1864262,1.5803133680561907,0.9241423981868148,13.575592868993567,0.3245033562892309,0.03759479895234108,0.06604919582605362,0.02845439687371254
BraTS-MET-00016-000,t1n,tumour_all,288858,2.1430022578523085,1.1264394435475007,12.252798721555651,0.7999616006347072,0.11280470853671432,0.3453701823018491,0.2325654737651348
BraTS-MET-00016-000,t1n,NETC,0,,,,,,,
BraTS-MET-00016-000,t1n,SNFH,279740,2.046187017227074,1.0990467101907015,12.45357175966937,0.8029350222691081,0.14014180237427354,0.3331659403629601,0.19302413798868656
BraTS-MET-00016-000,t1n,ET,9118,5.113291291906155,1.9668477819145964,8.476019666239669,0.9762762052785977,-0.707523780874908,0.6867699343711138,1.3942937152460217
BraTS-MET-00016-000,t1n,RC,0,,,,,,,
BraTS-MET-00016-000,t2w,support,1864262,1.2467459000969559,0.8225029634631795,14.605245520446797,0.3258125132806234,-0.03988092020153999,0.09788888692855835,0.13776980713009834
BraTS-MET-00016-000,t2w,tumour_all,288858,1.4523958214076451,0.9237805354955428,13.94217510004684,0.8003173235614212,0.44679843075573444,0.5875944155268371,0.14079598477110267
BraTS-MET-00016-000,t2w,NETC,0,,,,,,,
BraTS-MET-00016-000,t2w,SNFH,279740,1.4294800428390335,0.9141703484030234,14.011244042739683,0.8032558980828035,0.4281269945204258,0.5991971350740641,0.17107014055363834
BraTS-MET-00016-000,t2w,ET,9118,2.1554513047135653,1.2186208225389032,12.227642849126052,0.9768812407997335,0.9742283709347248,0.20556394755840302,0.7686644233763218
BraTS-MET-00016-000,t2w,RC,0,,,,,,,
BraTS-MET-00016-000,t2f,support,1864262,1.8443429545663304,0.9458776950583972,12.904608197183958,0.34724581749732186,0.0010773795656859875,0.25623705983161926,0.2551596802659333
BraTS-MET-00016-000,t2f,tumour_all,288858,5.558488148896276,1.884336187993224,8.113458167169483,0.839518447129318,0.9448240585625172,2.667049616575241,1.722225558012724
BraTS-MET-00016-000,t2f,NETC,0,,,,,,,
BraTS-MET-00016-000,t2f,SNFH,279740,5.433861574970785,1.8548176659470077,8.211939299890714,0.8415133258618092,0.9745451845228672,2.6600613109767437,1.6855161264538765
BraTS-MET-00016-000,t2f,ET,9118,9.38202815656429,2.789963667397522,5.840057687856348,0.9735290639314912,0.0013760964648099616,2.7076578065752983,2.7062817101104883
BraTS-MET-00016-000,t2f,RC,0,,,,,,,
BraTS-MET-00019-000,t1c,support,844224,1.3331841519542365,0.7659853932387576,14.314123583648527,0.4195569896475696,0.0025330057833343744,0.0682661160826683,0.06573311029933393
BraTS-MET-00019-000,t1c,tumour_all,101536,2.4190311769924158,1.079188018925569,11.726610350889484,0.8603308758096406,-0.4877471453510225,0.15666028717532754,0.64440743252635
BraTS-MET-00019-000,t1c,NETC,363,17.735920395557564,3.5252136612495732,3.0744876990801777,0.9687742699780106,3.3475566529887146,1.577606802340597,1.7699498506481177
BraTS-MET-00019-000,t1c,SNFH,96570,1.6013133244210886,0.9630371975632089,13.518261833679466,0.784811293167647,-0.6341296872124076,-0.03892254317179322,0.5952071440406144
BraTS-MET-00019-000,t1c,ET,4603,18.36667015949816,3.32311100628153,2.9227207404438604,0.982109781970931,2.2605039163609035,4.101876045111567,1.8413721287506633
BraTS-MET-00019-000,t1c,RC,0,,,,,,,
BraTS-MET-00019-000,t1n,support,844224,1.6818964537813652,0.9132926454657015,13.305032458901891,0.4141899554183602,-0.02599676325917244,0.06868099421262741,0.09467775747179985
BraTS-MET-00019-000,t1n,tumour_all,101536,2.339034995269471,1.226867389324192,11.872657812502549,0.8559746768661404,-0.286774770822376,0.5782997763235471,0.8650745471459231
BraTS-MET-00019-000,t1n,NETC,363,1.3755300087339948,0.8890501575707394,14.178324313157244,0.9689044181822428,-0.02901711082085967,-0.41675096610561013,0.38773385528475046
BraTS-MET-00019-000,t1n,SNFH,96570,2.3609906526150026,1.234815555258209,11.832082330980311,0.7792287485900721,-0.29853732377523556,0.5958761083857098,0.8944134321609454
BraTS-MET-00019-000,t1n,ET,4603,1.95439334422764,1.0867573026151964,12.652905258083184,0.9808393835015388,-0.05615914147347212,0.27831054572016,0.3344696871936321
BraTS-MET-00019-000,t1n,RC,0,,,,,,,
BraTS-MET-00019-000,t2w,support,844224,1.1059334028387533,0.7535045692093331,15.125735253813016,0.4252225065088833,-0.040890730917453766,0.11111430823802948,0.15200503915548325
BraTS-MET-00019-000,t2w,tumour_all,101536,1.7406247267813482,1.0594229736641447,13.155973520828645,0.8683872337849146,1.259509028866887,0.7700262917205691,0.48948273714631796
BraTS-MET-00019-000,t2w,NETC,363,2.019621487481545,1.113056367795806,12.51032518103602,0.9667281333033004,0.35348867112770677,0.9879775512963533,0.6344888801686466
BraTS-MET-00019-000,t2w,SNFH,96570,1.757629829403448,1.0649190040904866,13.113750862156746,0.8025947887807415,1.2824704833328724,0.7689592815004289,0.5135112018324435
BraTS-MET-00019-000,t2w,ET,4603,1.361859012171242,0.9398877617715444,14.221703516379488,0.9840879665817536,0.8247165842913091,0.756938586011529,0.06777799827978015
BraTS-MET-00019-000,t2w,RC,0,,,,,,,
BraTS-MET-00019-000,t2f,support,844224,1.7877871811702617,0.8816577133226616,13.039866818020176,0.44162574137726246,-0.04256283864378929,0.27731940150260925,0.31988224014639854
BraTS-MET-00019-000,t2f,tumour_all,101536,7.1593696061106185,2.134726953743841,7.014277170963678,0.8932894041984712,1.30351847037673,3.198212088085711,1.894693617708981
BraTS-MET-00019-000,t2f,NETC,363,8.35824158998969,2.8208198089650627,6.341875807551995,0.9586600161964122,0.26233022287487984,3.0530159566551447,2.790685733780265
BraTS-MET-00019-000,t2f,SNFH,96570,7.0455153532293116,2.098683583558164,7.08389735134843,0.8401188413973039,1.3236214350908995,3.1743352627381682,1.8507138276472688
BraTS-MET-00019-000,t2f,ET,4603,9.45346360363393,2.8368031111163154,5.807115442845006,0.982778552276868,0.9377130512148142,3.6304994001984596,2.6927863489836454
BraTS-MET-00019-000,t2f,RC,0,,,,,,,
BraTS-MET-00022-000,t1c,support,543012,1.4172776584044562,0.8272656470789341,14.048475596939952,0.6532850940745132,0.011089232750236988,0.11392758041620255,0.10283834766596556
BraTS-MET-00022-000,t1c,tumour_all,73114,3.574737581178127,1.3709653442185163,10.030583346943285,0.9024556160254928,0.9415820087306201,0.711736018769443,0.2298459899611771
BraTS-MET-00022-000,t1c,NETC,2682,6.187862224102393,1.970711585929295,7.647618654196918,0.9786455012680317,0.9711780602810904,0.9772758125327528,0.006097752251662314
BraTS-MET-00022-000,t1c,SNFH,36661,1.644205433676667,0.8995397143812763,13.403464216640659,0.8915697600112167,0.08745366623043083,0.15714591136202216,0.06969224513159133
BraTS-MET-00022-000,t1c,ET,33771,5.462950508459763,1.8351036757809442,8.1887523472098,0.9370622311703972,1.8571972083300352,1.2856654613278806,0.5715317470021546
BraTS-MET-00022-000,t1c,RC,0,,,,,,,
BraTS-MET-00022-000,t1n,support,543012,1.515266311018248,0.928346701652168,13.758135331160315,0.6495706465324321,-0.005478927865624428,0.0751698762178421,0.08064880408346653
BraTS-MET-00022-000,t1n,tumour_all,73114,0.9845897839093968,0.7545319677011411,15.630471755409847,0.9017767990670856,0.1012773064430803,0.056889661587774754,0.04438764485530555
BraTS-MET-00022-000,t1n,NETC,2682,0.9665341685852497,0.748240560984495,15.710852891013916,0.9841098072381753,-0.38652064056077506,-0.33856207225471735,0.047958568306057714
BraTS-MET-00022-000,t1n,SNFH,36661,1.0059589302880863,0.7647449760877751,15.537222503787403,0.9014919359178415,0.1722931662807241,0.12674620328471065,0.04554696299601346
BraTS-MET-00022-000,t1n,ET,33771,0.9628258706379578,0.7439446132358201,15.727547497372473,0.9389782330725344,0.06212190008955076,0.012054622638970613,0.05006727745058015
BraTS-MET-00022-000,t1n,RC,0,,,,,,,
BraTS-MET-00022-000,t2w,support,543012,1.3687681321336673,0.8444553244005831,14.199726154262438,0.6559239820092394,-0.00764871621504426,0.11134010553359985,0.11898882174864411
BraTS-MET-00022-000,t2w,tumour_all,73114,1.2547168629821726,0.8349875209542299,14.577567659601328,0.895769357902525,0.1689116326160729,0.2370722908526659,0.06816065823659301
BraTS-MET-00022-000,t2w,NETC,2682,2.6365214034096156,1.3092532656811937,11.352711994616628,0.9823852769896118,1.0684933647862636,0.02900504320859909,1.0394883215776645
BraTS-MET-00022-000,t2w,SNFH,36661,1.1974536403929035,0.8114240902401014,14.780437921347826,0.8977301897105621,0.008558981178794056,0.30033598141744733,0.2917770002386533
BraTS-MET-00022-000,t2w,ET,33771,1.207141346293854,0.8229025428977005,14.745443753912092,0.9344561928127196,0.26963321154471487,0.1827464192174375,0.08688679232727736
BraTS-MET-00022-000,t2w,RC,0,,,,,,,
BraTS-MET-00022-000,t2f,support,543012,1.4702642745458077,0.8726397318402835,13.889070961814749,0.6559097381093235,0.009416141547262669,0.22922131419181824,0.21980517264455557
BraTS-MET-00022-000,t2f,tumour_all,73114,1.6440401461586043,0.9011828712244544,13.403900823063992,0.9237129576098524,0.9384199064224958,1.010171233676374,0.07175132725387812
BraTS-MET-00022-000,t2f,NETC,2682,1.559782675145196,0.8807821583072386,13.63238408541106,0.9876382762420214,1.136408989696065,0.9861185541376472,0.1502904355584178
BraTS-MET-00022-000,t2f,SNFH,36661,1.5915757271315294,0.901974338587828,13.544751935985538,0.9262264381465972,0.8505246737040579,1.026475202292204,0.17595052858814597
BraTS-MET-00022-000,t2f,ET,33771,1.7076857771203628,0.9019438414958509,13.23894539459439,0.9540245822662714,1.0091106437612325,0.9847962548956275,0.024314388865604997
BraTS-MET-00022-000,t2f,RC,0,,,,,,,
BraTS-MET-00025-000,t1c,support,225000,1.4679915308885596,0.8226272810036843,13.895789507042483,0.6956059265652601,-0.061766162514686584,0.02087174542248249,0.08263790793716908
BraTS-MET-00025-000,t1c,tumour_all,55643,1.5746403363436505,0.90427792504438,13.591211285329397,0.8686718302217948,-0.10016155877383426,0.09137054359598551,0.19153210236981977
BraTS-MET-00025-000,t1c,NETC,3411,3.0566336203274926,1.3803046708382878,10.710591151016608,0.9755782088954614,-1.0595632853219286,-1.2427399524021894,0.1831766670802608
BraTS-MET-00025-000,t1c,SNFH,41476,0.8285396352557503,0.7046672577042076,16.37989211957457,0.8806811625595723,-0.36350346004473977,-0.08786743233213201,0.27563602771260776
BraTS-MET-00025-000,t1c,ET,10756,3.981686969539342,1.5230325558270101,9.562353869004864,0.9551352824602293,1.2176130027510226,1.202384838659782,0.015228164091240615
BraTS-MET-00025-000,t1c,RC,0,,,,,,,
BraTS-MET-00025-000,t1n,support,225000,1.854761390328196,0.9475146728452587,12.880144539478426,0.6988002655292906,-0.12751619517803192,-0.01503040548413992,0.112485789693892
BraTS-MET-00025-000,t1n,tumour_all,55643,1.31968666268276,0.91734747806418,14.35831673214166,0.8595061048124515,-0.18456411408260465,0.0893874992034398,0.27395161328604445
BraTS-MET-00025-000,t1n,NETC,3411,1.7016070203615008,1.120276800906877,13.25443232089604,0.9782361547959426,-1.0781224430538714,-0.22900842773378827,0.8491140153200831
BraTS-MET-00025-000,t1n,SNFH,41476,1.360614434934383,0.9253709864547939,14.225674266320121,0.8772676785915958,-0.0422775549814105,0.14578589261509478,0.18806344759650528
BraTS-MET-00025-000,t1n,ET,10756,1.04074926755906,0.8220541576638885,15.389563868487993,0.9473828237828886,-0.4453364808578044,-0.027448964188806713,0.4178875166689977
BraTS-MET-00025-000,t1n,RC,0,,,,,,,
BraTS-MET-00025-000,t2w,support,225000,1.3894155998368498,0.839858072835978,14.134703301061432,0.6953936210819491,0.05479084700345993,0.08782690763473511,0.03303606063127518
BraTS-MET-00025-000,t2w,tumour_all,55643,1.7225470447620914,1.0680525303500432,13.201314089385237,0.8662334445871791,0.9339168933220208,0.2560998569242656,0.6778170363977551
BraTS-MET-00025-000,t2w,NETC,3411,3.923966955061397,1.7231047203381693,9.625771593720465,0.976399063624823,2.1608204986550845,0.5613332218490541,1.5994872768060304
BraTS-MET-00025-000,t2w,SNFH,41476,1.6321788194497633,1.041370588441165,13.435347629879551,0.8842076750933616,0.8691395388450474,0.25710415525827557,0.6120353835867718
BraTS-MET-00025-000,t2w,ET,10756,1.3728881752030717,0.9632066027341206,14.186673363419317,0.9494690185367449,0.7812838129757438,0.15202988870441914,0.6292539242713246
BraTS-MET-00025-000,t2w,RC,0,,,,,,,
BraTS-MET-00025-000,t2f,support,225000,1.8764956345640746,0.9329660462210279,12.829549423496216,0.7092763265907529,0.007086265366524458,0.6186563968658447,0.6115701314993203
BraTS-MET-00025-000,t2f,tumour_all,55643,3.350856771307509,1.2492647178067873,10.311466359759397,0.9059622912030787,1.0370694687590003,1.997155416989699,0.9600859482306987
BraTS-MET-00025-000,t2f,NETC,3411,2.9924406914736763,1.5414021582201576,10.802769490809723,0.9725602796427287,-0.1352481445937883,1.3201993955299258,1.4554475401237141
BraTS-MET-00025-000,t2f,SNFH,41476,3.8947602088102804,1.3250421533961974,9.658217764214164,0.9286838871995031,1.2369195125065744,2.2496022563427687,1.0126827438361943
BraTS-MET-00025-000,t2f,ET,10756,1.367184241970234,0.8644166583277645,14.204754566608184,0.9642383177481156,0.6276637546252459,1.2159128477796912,0.5882490931544453
BraTS-MET-00025-000,t2f,RC,0,,,,,,,
BraTS-MET-00098-000,t1c,support,94300,1.492263298287166,0.9082426174248377,13.824570429760657,0.06358310758190298,1.967623290966003e-07,0.12871040403842926,0.12871020727610016
BraTS-MET-00098-000,t1c,tumour_all,17585,0.5836524086642886,0.5543974281852462,17.901482186223316,0.5652501704338375,0.04465438517945586,0.297552703646943,0.2528983184674871
BraTS-MET-00098-000,t1c,NETC,0,,,,,,,
BraTS-MET-00098-000,t1c,SNFH,17380,0.45215820250360317,0.5263955348270299,19.01012087076879,0.5666550598251331,0.006536426044476684,0.2956395068904385,0.2891030808459618
BraTS-MET-00098-000,t1c,ET,205,11.731795350482399,2.928411606554987,4.869380222285827,0.15119060706722667,3.26992247322778,0.45828052365686744,2.8116419495709124
BraTS-MET-00098-000,t1c,RC,0,,,,,,,
BraTS-MET-00098-000,t1n,support,94300,1.8464521307166477,0.9790230397911353,12.8996444772158,0.07793548700573755,3.2362226676241335e-08,0.1090724915266037,0.10907245916437702
