source_case_id,modality,generated_zero_fraction,reference_zero_fraction,generated_largest_zero_component_fraction,reference_largest_zero_component_fraction,generated_boundary_gradient,reference_boundary_gradient,boundary_gradient_ratio,generated_laplacian,reference_laplacian,laplacian_ratio,generated_z_gradient,reference_z_gradient,z_gradient_ratio,generated_repeated_adjacent_z_slices,reference_repeated_adjacent_z_slices,generated_extreme_zscore_fraction,support_size_x,support_size_y,support_size_z,artifact_flag_count,artifact_flags
BraTS-MET-00006-000,t1c,0.0,0.35228906984843783,0.0,0.35009631081026654,9.567379244735637,6.776672818809252,1.4118107071925523,0.8334369659423828,0.3745403289794922,2.225226234550612,0.28957754332538044,0.11990448760740254,2.4150684357497125,0,0,0.0027874457141097114,112,164,108,2,extreme_zscore_signal;large_tiled_support
BraTS-MET-00006-000,t1n,0.0,0.35229025448325046,0.0,0.35009631081026654,10.941090910381165,7.831678575243611,1.3970301264618528,0.7468770742416382,0.41491052508354187,1.8000918971415707,0.26150712111127483,0.13626817584789674,1.9190623157909625,0,0,0.0,112,164,108,1,large_tiled_support
BraTS-MET-00006-000,t2w,0.0,0.35230328546618933,0.0,0.35011052642801804,9.66618602897758,7.191018583273481,1.3442026212338556,0.5692765116691589,0.5164293050765991,1.1023319282485746,0.20854930907761285,0.10196671617236587,2.0452684651046167,0,0,0.0,112,164,108,1,large_tiled_support
BraTS-MET-00006-000,t2f,0.0,0.3522961776573136,0.0,0.35009631081026654,11.250540656865715,6.5953536227997285,1.7058282694612907,0.6492119431495667,0.4994605779647827,1.2998261960833735,0.20198406395288782,0.11112764305136072,1.8175861415465753,0,0,0.00018006449151919938,112,164,108,1,large_tiled_support
BraTS-MET-00009-000,t1c,0.0,0.2040868454661558,0.0,0.2040868454661558,8.495437389351295,7.825547065566367,1.085603002342488,0.8453567624092102,0.5314916968345642,1.5905361597254488,0.2989132034338333,0.12659958385947076,2.361091516427382,0,0,0.0010883447165306237,90,69,87,2,extreme_zscore_signal;large_tiled_support
BraTS-MET-00009-000,t1n,0.0,0.2040868454661558,0.0,0.2040868454661558,9.97865017599037,8.847357988343266,1.1278677984023735,0.7018446922302246,0.4716394543647766,1.4880958022807864,0.24660932154140688,0.12345733349634842,1.9975267127302812,0,0,0.0,90,69,87,1,large_tiled_support
BraTS-MET-00009-000,t2w,0.0,0.2040868454661558,0.0,0.2040868454661558,8.493828688175958,8.133229253802728,1.0443365633895823,0.5216366648674011,0.46141332387924194,1.1305192933785337,0.20076882221143355,0.11218120911243287,1.789683172430548,0,0,0.0,90,69,87,1,large_tiled_support
BraTS-MET-00009-000,t2f,0.0,0.2040868454661558,0.0,0.2040868454661558,9.36823761013245,6.2676025808706,1.4947083018194744,0.6584664583206177,0.36538630723953247,1.8021103836519898,0.20982069285078483,0.09447205642407591,2.2209815345706043,0,0,0.0005904455179817498,90,69,87,1,large_tiled_support
BraTS-MET-00014-000,t1c,0.0,0.1905167366645369,0.0,0.07251396170122895,10.10007469455313,9.570536091648519,1.0553300878690275,0.8370184302330017,0.461984783411026,1.811787877628666,0.2984861836485241,0.17739778337595255,1.6825812474553494,0,0,0.0011669282118596264,121,170,114,2,extreme_zscore_signal;large_tiled_support
BraTS-MET-00014-000,t1n,1.3366875279033522e-06,0.1905167366645369,1.3366875279033522e-06,0.07251396170122895,11.033512982134754,12.016474759862277,0.9181988230848838,0.6730554103851318,0.47892117500305176,1.4053573855464692,0.2603100012825883,0.19120069086227728,1.36144906228446,0,0,0.0,121,170,114,1,large_tiled_support
