source_case_id,modality,case_seed,support_voxels,tumour_voxels,support_voxel_count,support_mse,support_mae,support_psnr,support_ssim,support_contrast_reference,support_contrast_generated,support_contrast_abs_error,tumour_voxel_count,tumour_mse,tumour_mae,tumour_psnr,tumour_ssim,tumour_contrast_reference,tumour_contrast_generated,tumour_contrast_abs_error,artifact_flag_count,artifact_flags
BraTS-MET-00006-000,t1c,531607543,844142,148609,844142,1.4121513807440154,0.7287796294576345,14.064212457669122,0.5751024373655007,-0.03435615077614784,0.12573833763599396,0.1600944884121418,148609,3.6642168634514527,1.2153384689970537,9.923213316739908,0.8783717351225117,0.33303201850503683,1.046585445292294,0.7135534267872572,2,extreme_zscore_signal;large_tiled_support
BraTS-MET-00006-000,t1n,1787888528,844142,148609,844142,1.6792088556939087,0.9042486396851029,13.311977848351201,0.563396527571468,-0.026671970263123512,0.047504447400569916,0.07417641766369343,148609,2.1328573570106606,1.12709247661502,12.273406894503697,0.8664927018839529,0.14839229313656688,-0.1355747519992292,0.28396704513579607,1,large_tiled_support
BraTS-MET-00006-000,t2w,1181593924,844142,148609,844142,1.2909326481112933,0.7980226051163457,14.45398916375881,0.5660429796243555,-0.011601760052144527,0.11432920396327972,0.12593096401542425,148609,1.5369597175759673,0.9775535431506588,13.696400156121943,0.8657335615993716,0.5327627500519156,0.3682291805744171,0.16453356947749853,1,large_tiled_support
BraTS-MET-00006-000,t2f,1729795559,844142,148609,844142,1.6905108499882593,0.9057540040091374,13.28284538280165,0.5713304654703936,-0.0065292054787278175,0.3230869472026825,0.3296161526814103,148609,3.873499546885474,1.5136018255317416,9.681989912674746,0.8930638049928533,0.9721228182315826,2.25584739074111,1.2837245725095272,1,large_tiled_support
BraTS-MET-00009-000,t1c,579844974,540270,97361,540270,1.3859390750197058,0.7723364242314259,14.14558361374841,0.07757410440126984,-0.0006806033779866993,0.05306801199913025,0.05374861537711695,97361,2.865390267160872,1.1858314864911959,10.991187193743315,0.636997065351369,0.3579867142252624,0.47667796444147825,0.11869125021621585,2,extreme_zscore_signal;large_tiled_support
BraTS-MET-00009-000,t1n,1108362527,540270,97361,540270,1.703640656570642,0.9588261310280616,13.249245050115057,0.05180601570903349,0.0004575743223540485,0.04272785037755966,0.04227027605520561,97361,1.7629726718452137,1.048078740617118,13.100569204922486,0.6120814710594494,-0.03568374674068764,0.062422498944215477,0.09810624568490312,1,large_tiled_support
BraTS-MET-00009-000,t2w,1318499792,540270,97361,540270,1.3795367680243775,0.8385325082782459,14.165692207891249,0.07087021822856714,-0.04261317104101181,0.09859353303909302,0.14120670408010483,97361,1.6069359617025019,0.9622188965819187,13.503039308075437,0.6115743779055,0.47404935164377093,0.5718369523820002,0.09778760073822923,1,large_tiled_support
BraTS-MET-00009-000,t2f,1082455826,540270,97361,540270,1.5698447084735052,0.8820864030884854,13.604458073317351,0.09439828983326683,-0.011746799573302269,0.2778848111629486,0.2896316107362509,97361,3.269349790739629,1.3087270613445812,10.418411121351777,0.6922903672539519,1.2698554936796427,1.9179958859458566,0.6481403922662139,1,large_tiled_support
BraTS-MET-00014-000,t1c,1670278065,748118,114933,748118,1.4491135010912806,0.7896581750488924,13.95200098065497,0.6278445921434356,0.012585384771227837,0.04055633768439293,0.027970952913165092,114933,2.5357737983352733,0.9627275898493886,11.521919907201653,0.895909247597115,0.44605277478694916,0.20458664593752474,0.24146612884942442,2,extreme_zscore_signal;large_tiled_support
BraTS-MET-00014-000,t1n,376001749,748118,114933,748118,1.6648321552194867,0.9475519310635319,13.349320453492012,0.6222125965397759,-0.021130792796611786,-0.018231451511383057,0.0028993412852287292,114933,1.2758403664745894,0.8895080256460495,14.505061620374722,0.8923257429734172,0.20529408007860184,0.06481896643526852,0.14047511364333332,1,large_tiled_support
