source_case_id,modality,case_seed,support_voxels,tumour_voxels,support_voxel_count,support_mse,support_mae,support_psnr,support_ssim,support_contrast_reference,support_contrast_generated,support_contrast_abs_error,tumour_voxel_count,tumour_mse,tumour_mae,tumour_psnr,tumour_ssim,tumour_contrast_reference,tumour_contrast_generated,tumour_contrast_abs_error
BraTS-MET-00175-000,t1c,1632807304,71475,15324,71475,1.3168597209994701,0.7517975173283008,14.367629867323316,0.47295884132231536,0.001785787520930171,0.02145007997751236,0.01966429245658219,15324,0.7997367073621672,0.5957335875697255,16.53355470475959,0.7462203405459145,-0.07468435131886508,-0.05999836086994037,0.014685990448924713
BraTS-MET-00175-000,t1n,2027639569,71475,15324,71475,1.5715295378359981,0.9452574810985968,13.599799525128775,0.4864563533792581,-0.0037643699906766415,0.1986687332391739,0.20243310322985053,15324,0.8705409470415116,0.7564085810595583,16.165132972197995,0.7517076938097609,0.2768301257165149,0.5132437144056894,0.2364135886891745
BraTS-MET-00175-000,t2w,1714142870,71475,15324,71475,1.3241444898310752,0.8023814255717626,14.343671231314914,0.48169464126325756,0.00030946594779379666,0.16081503033638,0.1605055643885862,15324,1.4310206705644943,0.8752876518638111,14.00656593738984,0.747391870807418,0.7936752082314342,0.49937851168215275,0.2942966965492815
BraTS-MET-00175-000,t2f,734420174,71475,15324,71475,1.5292928450096328,0.9362567025571248,13.718118441358783,0.49847716509108314,-0.003569517284631729,0.4675787389278412,0.4711482562124729,15324,1.7384756759479987,1.0552660264050502,13.16133882179108,0.8105199727896657,0.858035191311501,1.7305262520094402,0.8724910606979392
BraTS-MET-00214-000,t1c,453174093,165695,22375,165695,1.5440538009834595,0.8439271825411144,13.676400719546427,0.8048109678888631,-0.0013145549455657601,0.08905933797359467,0.09037389291916043,22375,2.791234068150713,1.2200870898518088,11.105062435535263,0.9377626349375854,0.5413347770227119,0.224217114970088,0.3171176620526239
BraTS-MET-00214-000,t1n,253618374,165695,22375,165695,1.6205790458746399,0.9311819854756133,13.466322815978033,0.8056241463795294,-0.0013181044487282634,-0.09529392421245575,0.09397581976372749,22375,1.4227318534776237,0.9198312091717208,14.031794457487718,0.9347110749054268,0.015783445494889747,-0.3013629716588184,0.31714641715370817
BraTS-MET-00214-000,t2w,1639378726,165695,22375,165695,1.3175760861082997,0.8164513801357522,14.365267969412415,0.8111591138833041,-0.0023135030642151833,0.00814336072653532,0.010456863790750504,22375,1.7998682739073075,0.9817365068163681,13.010617790020657,0.9351443424249009,0.661663347738795,0.06259055396640179,0.5990727937723932
BraTS-MET-00214-000,t2f,1339101363,165695,22375,165695,1.365572823738951,0.8749208725192622,14.209876354679125,0.8026271776458599,-0.0016394946724176407,0.19803476333618164,0.19967425800859928,22375,1.577190987489467,0.9958354657105978,13.584182140391778,0.9363958656084087,0.8072360067162663,0.9206268304260448,0.11339082370977849
BraTS-MET-00532-000,t1c,986522942,47915,9663,47915,1.206140303508777,0.811819732184915,14.749046709934056,0.03210862628648666,-1.3375125718084746e-07,0.013292660005390644,0.013292793756647825,9663,1.1390232772605748,0.7249233943873711,14.997699012864974,0.40706820329596966,-0.26005835729301907,-0.028917366660607513,0.23114099063241156
BraTS-MET-00532-000,t1n,721713183,47915,9663,47915,1.2649673489248774,0.8938551624774406,14.542231850299647,0.06028354166705641,-1.3757272654402186e-07,0.20896176993846893,0.20896190751119548,9663,0.8205307595350743,0.7622176531395484,16.4220763451778,0.4241426985053061,-0.1950014622998424,0.20434008521260694,0.3993415475124493
BraTS-MET-00532-000,t2w,2055120425,47915,9663,47915,1.1901765898251109,0.8110031651110665,14.806910971085191,0.11717097152178126,-4.458375357785371e-08,0.018095772713422775,0.018095817297176353,9663,1.582264408908329,1.000500262768365,13.570234414951955,0.4644607663993363,0.8989525761571713,0.20289602389675565,0.6960565522604156
BraTS-MET-00532-000,t2f,1597065066,47915,9663,47915,1.2872018187227243,0.8877135793470882,14.466558560493057,0.07219480641845497,7.260782552975797e-08,0.40063565969467163,0.4006355870868461,9663,1.0326054994090152,0.817948167870931,15.42368067101765,0.6017063770040856,1.3215992528712377,1.1097897667204961,0.21180948615074158
BraTS-MET-00699-000,t1c,962271948,31080,5510,31080,1.5541423366870395,0.9412871478263279,13.648117094639458,0.08608824941684519,6.284186326865893e-08,0.27339062094688416,0.2733905581050209,5510,1.522335531247802,0.920997993069768,13.737921168547008,0.41132993008494545,0.5957614951184951,0.6274006361491047,0.03163914103060961
BraTS-MET-00699-000,t1n,793769623,31080,5510,31080,1.9156077855392892,1.073521738878545,12.739959073049022,0.05757555417552176,-2.9457121186737822e-08,0.17181548476219177,0.17181551421931296,5510,1.512237953219518,1.0075697692719199,13.76682367248092,0.36033096511135565,0.07910965622431831,-0.03767871961463243,0.11678837583895074
BraTS-MET-00699-000,t2w,326306774,31080,5510,31080,1.795241861441479,1.0314594327712006,13.021795341964147,0.07098766661246408,1.0211802248250024e-07,0.347634494304657,0.3476343921866345,5510,1.3712564830947698,0.9444478741306102,14.19183806900561,0.33158503406530204,0.6034763039788231,0.23098394158296287,0.37249236239586025
BraTS-MET-00699-000,t2f,1398199268,31080,5510,31080,1.722739025107009,1.040376003833857,13.200830088911388,0.1057485876181593,5.8914242373475645e-08,0.6866428852081299,0.6866428262938875,5510,1.0705271055934658,0.8432172469058469,15.267048327233416,0.6168065132701281,1.1769857632461935,1.5349443776067346,0.3579586143605411
BraTS-MET-00791-000,t1c,2052100218,57720,10568,57720,1.5442892203064738,0.8952843218401638,13.675738608424625,0.06720582091203134,-1.948324239720023e-07,0.10307247191667557,0.10307266674909954,10568,2.258271824241148,1.0865206678685115,12.025262847625498,0.4884711187963393,0.38275645379326306,0.19290332854143344,0.18985312525182962
BraTS-MET-00791-000,t1n,1802431085,57720,10568,57720,1.691449474438643,1.0014393986202654,13.280434713303823,0.07657330767896023,7.63335989972802e-08,0.03831828385591507,0.03831820752231607,10568,1.558868642855311,1.009068595178603,13.634929796044712,0.48878334698627046,0.5832504506688565,-0.27837159717455506,0.8616220478434116
BraTS-MET-00791-000,t2w,623753627,57720,10568,57720,1.3016621772032426,0.8275968336205405,14.418042151629166,0.08098376013608256,-2.0091267316502126e-08,0.029829073697328568,0.029829093788595884,10568,2.9063351929160173,1.2629414712608644,10.929567999453704,0.5083971311701472,1.0741000542184338,0.012351173543720506,1.0617488806747133
BraTS-MET-00791-000,t2f,1779200030,57720,10568,57720,1.1969618282852779,0.8324885920086478,14.782222000095002,0.08291619637201549,1.0997325716743944e-07,0.33619004487991333,0.33618993490665616,10568,1.1673957545290952,0.8216673257517113,14.890843911900449,0.6800611191848042,1.3491767261875793,0.9106066067470238,0.4385701194405556
BraTS-MET-01058-001,t1c,106624232,148225,30782,148225,1.6527544767130404,0.9291794775585038,13.380941585862969,0.05653394853146517,0.0515606552362442,-0.0475970134139061,0.0991576686501503,30782,2.7831014973358346,1.172070305344079,11.117734557954089,0.5217711054004789,0.42038340259023244,-0.2039104674140617,0.6242938700042941
BraTS-MET-01058-001,t1n,978452706,148225,30782,148225,1.8045654938919842,1.003789866568171,12.999298520444007,0.058532644719603136,0.07215050607919693,0.05366751179099083,0.0184829942882061,30782,2.9753799513135513,1.3438692929239553,10.827600684430173,0.5021248841585115,0.6430899044498801,-0.12712284330336843,0.7702127477532485
BraTS-MET-01058-001,t2w,2076070894,148225,30782,148225,1.3284913947089487,0.8315275869003059,14.329437551504773,0.07670120114874894,-0.010445257648825645,0.09762685745954514,0.10807211510837078,30782,1.7197932420253244,0.9608422333407494,13.208262627230516,0.5178320208153406,0.2285203909559641,0.5959267311809526,0.3674063402249885
BraTS-MET-01058-001,t2f,183713974,148225,30782,148225,1.2953492606236086,0.8414213897540996,14.439156192141132,0.10359414971815234,0.06479353457689285,0.4241928458213806,0.35939931124448776,30782,1.8163346043752981,1.0731479234933547,12.971066436703879,0.6231316501149747,0.9987850023899227,1.3490176388877444,0.35023263649782166
BraTS-MET-01105-001,t1c,1315637793,202395,21653,202395,1.5709379486020123,0.898408488468948,13.601434698405937,0.812973275771852,-0.03156412020325661,-0.03289920836687088,0.001335088163614273,21653,1.9606557368511954,1.1256633937631755,12.639011563147658,0.9550721916130184,-0.5690269319238723,-0.5876054529217072,0.018578520997834858
BraTS-MET-01105-001,t1n,27881229,202395,21653,202395,2.1602755169798042,1.0689256245341734,12.217933570823888,0.8151300001008334,-0.11778266727924347,0.14445026218891144,0.2622329294681549,21653,2.387403334734886,1.3051662420642849,11.783767046124968,0.953742401905126,-0.10753595258574933,0.9169623947236687,1.024498347309418
