1	4.336105
2	0.426928
3	0.257380
4	0.198495
5	0.181039
6	0.164472
7	0.158538
8	0.152731
9	0.146338
10	0.139946
11	0.138980
12	0.131536
13	0.127901
14	0.125887
15	0.123486
16	0.119332
17	0.115707
18	0.113946
19	0.111226
20	0.109790
21	0.107537
22	0.107661
23	0.103429
24	0.104177
25	0.102469
26	0.102077
27	0.102292
28	0.099783
29	0.099116
30	0.097122
31	0.098201
32	0.097199
33	0.095710
34	0.095066
35	0.093741
36	0.094483
37	0.092764
38	0.093402
39	0.093505
40	0.091502
41	0.090909
42	0.090368
43	0.091531
44	0.089725
45	0.091262
46	0.090677
47	0.089787
48	0.087758
49	0.089428
50	0.085202
51	0.088837
52	0.088275
53	0.087300
54	0.088107
55	0.086780
56	0.086439
57	0.085867
58	0.087117
59	0.087117
60	0.085344
61	0.084378
62	0.086208
63	0.084962
64	0.083700
65	0.086419
66	0.083879
67	0.083781
68	0.085366
69	0.083019
70	0.082844
71	0.083705
72	0.083793
73	0.082202
74	0.082535
75	0.082416
76	0.084153
77	0.082590
78	0.081910
79	0.081235
80	0.083420
81	0.082593
82	0.082467
83	0.081913
84	0.081733
85	0.081052
86	0.080415
87	0.083194
88	0.081079
89	0.078528
90	0.081998
91	0.080683
92	0.080787
93	0.079912
94	0.080324
95	0.078624
96	0.078876
97	0.079610
98	0.080115
99	0.079688
100	0.079552
101	0.079082
102	0.079498
103	0.078796
104	0.078904
105	0.078376
106	0.077122
107	0.078445
108	0.078986
109	0.079159
110	0.078114
111	0.079754
112	0.078576
113	0.078483
114	0.078173
115	0.078471
116	0.077335
117	0.079426
118	0.077818
119	0.077642
120	0.077008
121	0.077843
122	0.077914
123	0.076978
124	0.078300
125	0.079800
126	0.079386
127	0.077544
128	0.077390
129	0.077382
130	0.075698
131	0.077780
132	0.078069
133	0.076682
134	0.075478
135	0.074102
136	0.076915
137	0.069634
138	0.076831
139	0.075036
140	0.077421
141	0.075269
142	0.075506
143	0.074813
144	0.077180
145	0.076110
146	0.075768
147	0.077209
148	0.076663
149	0.074796
150	0.077165
151	0.075748
152	0.076578
153	0.075147
154	0.075974
155	0.077046
156	0.074018
157	0.075493
158	0.075237
159	0.073497
160	0.075399
161	0.074361
162	0.076492
163	0.075719
164	0.074818
165	0.073585
166	0.075132
167	0.073451
168	0.073801
169	0.075736
170	0.075254
171	0.074958
172	0.075512
173	0.074682
174	0.074729
175	0.073188
176	0.074675
177	0.074389
178	0.075307
179	0.073581
180	0.074355
181	0.074778
182	0.077033
