model,subject_id,all_instance_tp_et,all_instance_fp_et,all_instance_fn_et,all_instance_f1_et,large_instance_tp_et,large_instance_fp_et,large_instance_fn_et,large_instance_f1_et,lesionwise_dsc_mean_et,lesionwise_dsc_std_et,lesionwise_hd95_mean_et,lesionwise_hd95_std_et,lesionwise_nsd_mean_et,lesionwise_nsd_std_et,small_instance_tp_et,small_instance_fn_et,small_instance_fp_et,small_instance_f1_et,all_instance_tp_rc,all_instance_fp_rc,all_instance_fn_rc,all_instance_f1_rc,large_instance_tp_rc,large_instance_fp_rc,large_instance_fn_rc,large_instance_f1_rc,lesionwise_dsc_mean_rc,lesionwise_dsc_std_rc,lesionwise_hd95_mean_rc,lesionwise_hd95_std_rc,lesionwise_nsd_mean_rc,lesionwise_nsd_std_rc,small_instance_tp_rc,small_instance_fn_rc,small_instance_fp_rc,small_instance_f1_rc,all_instance_tp_tc,all_instance_fp_tc,all_instance_fn_tc,all_instance_f1_tc,large_instance_tp_tc,large_instance_fp_tc,large_instance_fn_tc,large_instance_f1_tc,lesionwise_dsc_mean_tc,lesionwise_dsc_std_tc,lesionwise_hd95_mean_tc,lesionwise_hd95_std_tc,lesionwise_nsd_mean_tc,lesionwise_nsd_std_tc,small_instance_tp_tc,small_instance_fn_tc,small_instance_fp_tc,small_instance_f1_tc,all_instance_tp_wt,all_instance_fp_wt,all_instance_fn_wt,all_instance_f1_wt,large_instance_tp_wt,large_instance_fp_wt,large_instance_fn_wt,large_instance_f1_wt,lesionwise_dsc_mean_wt,lesionwise_dsc_std_wt,lesionwise_hd95_mean_wt,lesionwise_hd95_std_wt,lesionwise_nsd_mean_wt,lesionwise_nsd_std_wt,small_instance_tp_wt,small_instance_fn_wt,small_instance_fp_wt,small_instance_f1_wt
completion_plain,BraTS-MET-01314-002.nii.gz,0,0,0,,0,0,0,0,,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,,,,
completion_plain,BraTS-MET-01314-003.nii.gz,0,2,0,0,0,2,0,0,,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,0,2,0,0,0,2,0,0,,,,,,,,,,,0,2,0,0,0,2,0,0,,,,,,,,,,
completion_plain,BraTS-MET-01331-002.nii.gz,2,0,1,0.8,1,0,0,1,0.6389776357827476,0,2.1649171897176633,0,0.5884764431647932,0,1,1,0,0.6666666666666666,0,1,0,0,0,1,0,0,,,,,,,,,,,2,0,3,0.5714285714285714,1,0,0,1,0.4292746964227109,0,7.5,0,0.49902593356232827,0,1,3,0,0.4,2,1,3,0.5,1,1,0,0.6666666666666666,0.21463734821135544,0.21463734821135544,190.25,182.75,0.24951296678116414,0.24951296678116414,1,3,1,0.3333333333333333
completion_plain,BraTS-MET-01351-000.nii.gz,3,0,0,1,2,0,0,1,0.9294955132067095,0.00493071630148717,0.5,0,0.9984495788623515,0.001550421137648528,1,0,0,1,0,0,0,,0,0,0,0,,,,,,,,,,,3,0,0,1,2,0,0,1,0.9355184081849712,0.010953611279748865,0.5,0,0.9980732177263969,0.0019267822736031004,1,0,0,1,3,0,0,1,2,0,0,1,0.922321384807387,0.0022434120978354066,0.6035533905932737,0.10355339059327379,0.9744863418956777,0.025513658104322268,1,0,0,1
completion_plain,BraTS-MET-01351-002.nii.gz,44,0,98,0.4731182795698925,14,0,2,0.9333333333333333,0.7476347941397818,0.2858585573109556,47.263074406322396,123.11795382711364,0.8372941864910134,0.31828317236852216,30,96,0,0.38461538461538464,0,1,0,0,0,1,0,0,,,,,,,,,,,44,0,98,0.4731182795698925,14,0,2,0.9333333333333333,0.752932512834644,0.2886666315645644,47.19043964180979,123.14542619555816,0.8550355932860989,0.32491552460886547,30,96,0,0.38461538461538464,42,1,98,0.45901639344262296,24,1,4,0.9056603773584906,0.6210910799775424,0.30857222233947756,52.670918115470975,128.13583928701402,0.7233223590775849,0.3232498687764042,17,95,1,0.26153846153846155
completion_plain,BraTS-MET-01351-003.nii.gz,1,0,19,0.09523809523809523,0,0,0,0,,,,,,,1,19,0,0.09523809523809523,0,0,0,,0,0,0,0,,,,,,,,,,,1,0,18,0.1,0,0,0,0,,,,,,,1,18,0,0.1,1,0,21,0.08695652173913043,0,0,0,0,,,,,,,1,21,0,0.08695652173913043
completion_focal,BraTS-MET-00006-000.nii.gz,6,0,6,0.6666666666666666,5,0,4,0.7142857142857143,0.37034508668125476,0.37065146075439076,166.76892730087528,184.45898947515676,0.458728420253415,0.4167240769917887,1,2,0,0.5,0,0,0,,0,0,0,0,,,,,,,,,,,6,0,7,0.631578947368421,5,0,4,0.7142857142857143,0.37027904017712154,0.370553444146179,166.76892730087528,184.45898947515676,0.4559114493671126,0.4151454375029721,1,3,0,0.4,6,1,5,0.6666666666666666,5,1,5,0.625,0.3063367008020168,0.3652169041358197,204.1907719357046,184.9214477999774,0.39803262002927203,0.4385254969685198,1,0,1,0.6666666666666666
completion_focal,BraTS-MET-00009-000.nii.gz,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.44884346262980407,0.44884346262980407,187.20710678118655,185.79289321881345,0.45587591786233395,0.45587591786233395,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.4727416851812569,0.4727416851812569,187.5,185.5,0.44403464870087556,0.44403464870087556,,,,,1,2,0,0.5,1,2,0,0.5,0.31079928252690525,0.4395365605253767,249.72075922005615,174.34317427005496,0.2748115639895219,0.3886422408909435,,,,
completion_focal,BraTS-MET-00014-000.nii.gz,19,1,38,0.4935064935064935,19,1,32,0.5352112676056338,0.2978499363437539,0.40592688431136137,237.42734265566224,178.67419367484828,0.3417411058792749,0.4524362048336004,0,6,1,0,0,0,0,,0,0,0,0,,,,,,,,,,,19,1,38,0.4935064935064935,19,1,32,0.5352112676056338,0.2990709466557607,0.40751681234107306,237.4473676975549,178.64837733345527,0.34032980121931655,0.45148148492652046,0,6,1,0,13,2,32,0.43333333333333335,13,2,28,0.4642857142857143,0.23357063705458242,0.36831930190120665,261.1420989325949,169.9349108703702,0.26905752168047625,0.4111653392109093,0,4,2,0
completion_focal,BraTS-MET-00016-000.nii.gz,5,1,1,0.8333333333333334,5,1,1,0.8333333333333334,0.6565441455820117,0.4184003949761118,107.28571428571429,168.05246994037674,0.7008645701498385,0.4435107157715226,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,5,1,1,0.8333333333333334,5,1,1,0.8333333333333334,0.6561740813499021,0.41816248307595466,107.28571428571429,168.05246994037674,0.7027391860753729,0.4447116757719468,,,,,3,1,5,0.5,3,1,1,0.75,0.4082271839800634,0.373442357736028,161.3905815704822,173.92481181654557,0.40590798897804437,0.36287744643625436,0,4,1,0
