subject,modality,whole_SSIM,whole_MSE,tumor_SSIM,tumor_MSE,healthy_SSIM,healthy_MSE,KL
BraTS-MET-00006-000,t1n,0.20682865381240845,0.0019362529274076223,0.7288227081298828,0.00023294486163649708,0.5188111662864685,0.0005889525637030602,0.19335344433784485
BraTS-MET-00006-000,t1c,0.21034663915634155,0.0019712201319634914,0.7297616004943848,0.0010125285480171442,0.5270995497703552,0.0010288814082741737,0.19358770549297333
BraTS-MET-00006-000,t2w,0.2039089798927307,0.002157379873096943,0.6928075551986694,0.0005246258806437254,0.5082352161407471,0.0019474816508591175,0.2322911024093628
BraTS-MET-00006-000,t2f,0.20101267099380493,0.0019623448606580496,0.6879003643989563,0.0009007511544041336,0.4979514479637146,0.001134707941673696,0.2214447259902954
BraTS-MET-00009-000,t1n,0.1995253562927246,0.0019419400487095118,0.8619400262832642,0.0005255110445432365,0.526588499546051,0.0008022611145861447,0.20112870633602142
BraTS-MET-00009-000,t1c,0.17179560661315918,0.0026277864817529917,0.7408711910247803,0.0026453027967363596,0.44801580905914307,0.006308976095169783,0.17901843786239624
BraTS-MET-00009-000,t2w,0.18425482511520386,0.0025171185843646526,0.7604319453239441,0.001995560247451067,0.48444974422454834,0.004878972191363573,0.22809553146362305
BraTS-MET-00009-000,t2f,0.19140344858169556,0.0021206450182944536,0.8383746147155762,0.001598565955646336,0.5060201287269592,0.0019312184303998947,0.19288556277751923
BraTS-MET-00014-000,t1n,0.22087925672531128,0.0020669009536504745,0.6959290504455566,0.0007441691122949123,0.5352425575256348,0.0011760304914787412,0.21299628913402557
BraTS-MET-00014-000,t1c,0.22733867168426514,0.002071618800982833,0.7077828049659729,0.0009524195920675993,0.5500390529632568,0.0014859553193673491,0.2209683656692505
BraTS-MET-00014-000,t2w,0.2245236039161682,0.001982974587008357,0.6835929155349731,0.0008429178269580007,0.5359770655632019,0.0015435062814503908,0.2568928301334381
BraTS-MET-00014-000,t2f,0.22014391422271729,0.0019470270490273833,0.680864691734314,0.001031199935823679,0.5285325050354004,0.0008461525430902839,0.2433404177427292
BraTS-MET-00016-000,t1n,0.23650801181793213,0.0018586870282888412,0.6970476508140564,0.0004867271054536104,0.5434470176696777,0.000628591631539166,0.23351183533668518
BraTS-MET-00016-000,t1c,0.23706436157226562,0.0019813382532447577,0.695870041847229,0.0013756838161498308,0.5474514365196228,0.0008852037135511637,0.228346586227417
BraTS-MET-00016-000,t2w,0.24010992050170898,0.001976544037461281,0.6905127167701721,0.0006638529594056308,0.5476478338241577,0.0018227769760414958,0.2803141474723816
BraTS-MET-00016-000,t2f,0.22641277313232422,0.002000743756070733,0.6534803509712219,0.0008140077698044479,0.5147247314453125,0.001694515929557383,0.26855984330177307
BraTS-MET-00019-000,t1n,0.19955259561538696,0.002131957793608308,0.7674532532691956,0.0014303259085863829,0.5170261859893799,0.0012586844386532903,0.17596884071826935
BraTS-MET-00019-000,t1c,0.205458402633667,0.0021226066164672375,0.7764579057693481,0.0013702622381970286,0.532637357711792,0.001149776391685009,0.18263494968414307
BraTS-MET-00019-000,t2w,0.20206111669540405,0.0019445266807451844,0.7430762052536011,0.0010650930926203728,0.5129239559173584,0.001133793848566711,0.2158312052488327
BraTS-MET-00019-000,t2f,0.20422548055648804,0.001920086913742125,0.7634420990943909,0.0011484484421089292,0.5197497010231018,0.0008685210486873984,0.21908698976039886
BraTS-MET-00022-000,t1n,0.17394667863845825,0.0020818538032472134,0.6411705017089844,0.0004756258276756853,0.4857211112976074,0.0008474838105030358,0.1812247782945633
BraTS-MET-00022-000,t1c,0.16576391458511353,0.0023985698353499174,0.6037765741348267,0.0017676259158179164,0.46230006217956543,0.003618573769927025,0.17880387604236603
BraTS-MET-00022-000,t2w,0.1720070242881775,0.002351379720494151,0.6172117590904236,0.001885883160866797,0.47736048698425293,0.003758565289899707,0.20817546546459198
BraTS-MET-00022-000,t2f,0.1706075668334961,0.002057858509942889,0.6156602501869202,0.0015487077180296183,0.46942293643951416,0.0016363034956157207,0.20158056914806366
BraTS-MET-00025-000,t1n,0.19579946994781494,0.0018815447110682726,0.8212329745292664,0.00016711588250473142,0.5065820813179016,0.000787546334322542,0.20294614136219025
BraTS-MET-00025-000,t1c,0.18898558616638184,0.0020246831700205803,0.8116013407707214,0.0003503962652757764,0.4959225654602051,0.0006758922827430069,0.18658053874969482
BraTS-MET-00025-000,t2w,0.18422061204910278,0.002178327413275838,0.7392561435699463,0.0007780415471643209,0.47838205099105835,0.002194982022047043,0.21486817300319672
BraTS-MET-00025-000,t2f,0.1819952130317688,0.0020249378867447376,0.7451089024543762,0.0012341684196144342,0.4680826663970947,0.0015839325496926904,0.21342980861663818
BraTS-MET-00098-000,t1n,0.23015928268432617,0.0018629735568538308,0.9600513577461243,0.00029033437022008,0.5107642412185669,0.0006800895789638162,0.22832493484020233
BraTS-MET-00098-000,t1c,0.16595882177352905,0.003439845982939005,0.6778817176818848,0.009836239740252495,0.3523132801055908,0.010879473760724068,0.22606335580348969
BraTS-MET-00098-000,t2w,0.2181917428970337,0.002393045462667942,0.8530391454696655,0.003262648591771722,0.48384523391723633,0.003766388399526477,0.2759794592857361
BraTS-MET-00098-000,t2f,0.21645188331604004,0.0020056606736034155,0.9158375859260559,0.0006502994801849127,0.481680691242218,0.0007342103635892272,0.24040941894054413
BraTS-MET-00129-000,t1n,0.22630751132965088,0.0019168261205777526,0.8043417930603027,0.0002521434216760099,0.48745131492614746,0.000686823739670217,0.2191619873046875
BraTS-MET-00129-000,t1c,0.17163348197937012,0.003539620665833354,0.5547932386398315,0.01903489977121353,0.36171257495880127,0.009057649411261082,0.21757772564888
BraTS-MET-00129-000,t2w,0.20936954021453857,0.002385869389399886,0.7291021347045898,0.0006577886524610221,0.44876569509506226,0.003752616234123707,0.2485293447971344
BraTS-MET-00129-000,t2f,0.21758127212524414,0.002074385527521372,0.7779747843742371,0.0013201943365857005,0.4694945812225342,0.0011241547763347626,0.22311916947364807
