subject,modality,whole_SSIM,whole_MSE,tumor_SSIM,tumor_MSE,healthy_SSIM,healthy_MSE,KL
BraTS-MET-00006-000,t1n,0.21003985404968262,0.0022444394417107105,0.701257586479187,0.007607531268149614,0.5156010389328003,0.004884084686636925,0.19832728803157806
BraTS-MET-00006-000,t1c,0.2124730348587036,0.002469258848577738,0.6917828917503357,0.004741211887449026,0.5169045925140381,0.008078254759311676,0.20259204506874084
BraTS-MET-00006-000,t2w,0.20743900537490845,0.0023022193927317858,0.6761485934257507,0.0033243540674448013,0.508124589920044,0.0049413531087338924,0.22739417850971222
BraTS-MET-00006-000,t2f,0.20408087968826294,0.0018123993650078773,0.6755576729774475,0.0007346505881287158,0.4970262050628662,0.0015822685090824962,0.21748271584510803
BraTS-MET-00009-000,t1n,0.20336031913757324,0.0017718814779073,0.8317805528640747,0.0007951494189910591,0.5279159545898438,0.0011979765258729458,0.19922463595867157
BraTS-MET-00009-000,t1c,0.16183072328567505,0.0032034884206950665,0.5880045890808105,0.009711590595543385,0.39717113971710205,0.014649763703346252,0.19086267054080963
BraTS-MET-00009-000,t2w,0.1830947995185852,0.002712491899728775,0.6839126348495483,0.006322982721030712,0.4701094627380371,0.008359738625586033,0.2219775766134262
BraTS-MET-00009-000,t2f,0.1922600269317627,0.002316466998308897,0.8054090738296509,0.0010821220930665731,0.495103120803833,0.006350475829094648,0.19881142675876617
BraTS-MET-00014-000,t1n,0.2234741449356079,0.002615465084090829,0.6612390875816345,0.00821108277887106,0.525468111038208,0.007782201282680035,0.22296248376369476
BraTS-MET-00014-000,t1c,0.22526443004608154,0.002873504301533103,0.6598583459854126,0.009319260716438293,0.5274553894996643,0.00997735932469368,0.2311609834432602
BraTS-MET-00014-000,t2w,0.2275804877281189,0.002247689524665475,0.6678327918052673,0.002936613978818059,0.5332601070404053,0.0052466560155153275,0.2527564465999603
BraTS-MET-00014-000,t2f,0.22510254383087158,0.0018830017652362585,0.6782014966011047,0.0012288378784433007,0.5338254570960999,0.0017702941549941897,0.24205851554870605
BraTS-MET-00016-000,t1n,0.24493932723999023,0.0018542734906077385,0.6974767446517944,0.0038064466789364815,0.5539152026176453,0.002178697846829891,0.23854146897792816
BraTS-MET-00016-000,t1c,0.2416921854019165,0.0024736695922911167,0.6751133799552917,0.008420862257480621,0.5452789068222046,0.006298881024122238,0.23933425545692444
BraTS-MET-00016-000,t2w,0.2448970079421997,0.0020257241558283567,0.6872291564941406,0.0018777454970404506,0.5524759292602539,0.003503594547510147,0.2739017903804779
BraTS-MET-00016-000,t2f,0.2280377745628357,0.0019335327669978142,0.6403682231903076,0.0016550510190427303,0.51016765832901,0.002642143052071333,0.265625923871994
BraTS-MET-00019-000,t1n,0.1977454423904419,0.0028304734732955694,0.6756192445755005,0.010448864661157131,0.49193888902664185,0.01063128374516964,0.1872687190771103
BraTS-MET-00019-000,t1c,0.20185548067092896,0.0030047937761992216,0.684209406375885,0.011968875303864479,0.5039008855819702,0.011857201345264912,0.19202013313770294
BraTS-MET-00019-000,t2w,0.2077338695526123,0.0019428955856710672,0.7288331985473633,0.001186756999231875,0.5184744000434875,0.0032259116414934397,0.21392321586608887
BraTS-MET-00019-000,t2f,0.20644450187683105,0.0018335441127419472,0.7478874325752258,0.0011160383000969887,0.5194036364555359,0.0013767529744654894,0.2136591523885727
BraTS-MET-00022-000,t1n,0.17879021167755127,0.002029622672125697,0.6331208348274231,0.003394155763089657,0.4894011616706848,0.0029266735073179007,0.18213871121406555
BraTS-MET-00022-000,t1c,0.1558254361152649,0.0031200831290334463,0.514056384563446,0.011037508025765419,0.40938514471054077,0.014959878288209438,0.18407070636749268
BraTS-MET-00022-000,t2w,0.17334973812103271,0.002544350689277053,0.5958024263381958,0.005625108722597361,0.471197247505188,0.007702015805989504,0.1986202746629715
