blind_code,event_id,core_volume_bin,montage_path,artifact_path,evidence_sha256,review_decision,reviewer,reviewed_at_utc,notes
13713d2549efe13d,e285e4cec42fa61460c7c3d5,gt_275,montages/13713d2549efe13d.png,artifacts/13713d2549efe13d.npz,ef2909e8472e8464b4c940c4b52e2eb093c4fb36da8170f1f5f7eb046314e360,pending,,,
13a018a57eae67f1,a2fe69a51f432024bbf94e3a,27_49,montages/13a018a57eae67f1.png,artifacts/13a018a57eae67f1.npz,5b588050d879bb30b2d8c0a535696f0daa957dc925b5e25feb66d723e47faa46,pending,,,
13c15c2f269f0ec2,3e6e2db2fbfeec3b3363834c,gt_275,montages/13c15c2f269f0ec2.png,artifacts/13c15c2f269f0ec2.npz,2a4fff507a826b8f5af99a99d6029f10e3e1f9e150979f8035faacdde2e8f81a,pending,,,
140af482cc07045f,213f224f8fa7e4b74b8afbed,gt_275,montages/140af482cc07045f.png,artifacts/140af482cc07045f.npz,03b5fe4ee01016e2bb23e51f4953aa4ed19ec468e3cd5e11123719e0c9423ca2,pending,,,
16c6afa9b358aa37,60373d8f78579c740fde01d2,27_49,montages/16c6afa9b358aa37.png,artifacts/16c6afa9b358aa37.npz,b467933fc7c6c70bf0d9e3437a8a8b84310b753803cd851ed07bfd118c8ff0cb,pending,,,
16fd0a17844fe18a,0794bcd4db047f2c92cf79c6,50_275,montages/16fd0a17844fe18a.png,artifacts/16fd0a17844fe18a.npz,eb356416015c55159f6410b955edab6426b388a847e7d2738dfb142e41d8d156,pending,,,
17e23ad6ad146d16,a0169259d59ec31c3dd7f67c,50_275,montages/17e23ad6ad146d16.png,artifacts/17e23ad6ad146d16.npz,0c8246ae5c298bece5d86f3a884c90b0d911112570dcd2fc115a1d46550ad9f5,pending,,,
194137979fb87f1a,4ee246846d15030d90ac2d6e,50_275,montages/194137979fb87f1a.png,artifacts/194137979fb87f1a.npz,a3f8ffbd0cf42f7d15171543db1f7439c24220355cb459686d6cadde425f4bac,pending,,,
1a00b0d499f2cb15,3e72d4fc1c0440212c413147,27_49,montages/1a00b0d499f2cb15.png,artifacts/1a00b0d499f2cb15.npz,dd0457f604456daa9ae004b727eb916c41db9cb66538ad759ec7c1f5f1f691f3,pending,,,
1a4ddda80d4f607d,4379ae9033a855085c1bde4a,gt_275,montages/1a4ddda80d4f607d.png,artifacts/1a4ddda80d4f607d.npz,546107afdaca5f32fb48df1ca5d3888793978ccc503219c32b70bf8ecf2c72ae,pending,,,
1afc111953d87a26,66e0d858be83fb4a0963a6ea,27_49,montages/1afc111953d87a26.png,artifacts/1afc111953d87a26.npz,a9bd14ab6c2e3bb85fd53e737bea33ee150f85371767c7b2232a5ec14888514c,pending,,,
1cc6f281fc6eda06,70f88f096ab4ca73709674c8,50_275,montages/1cc6f281fc6eda06.png,artifacts/1cc6f281fc6eda06.npz,e4329dd0f688ad15947a699d458e439575eccd0812b260cacb800bf99ade6810,pending,,,
1f6d37d668825aec,6076b25d3d2da3f4aa381c12,27_49,montages/1f6d37d668825aec.png,artifacts/1f6d37d668825aec.npz,da5fba44386fbf8319d6a29f40d6d171b208714ed8268fde31ea470306254f75,pending,,,
1f84c3df3cb95a94,13f971512b2789cb1b3321bf,50_275,montages/1f84c3df3cb95a94.png,artifacts/1f84c3df3cb95a94.npz,de423f0064387563b9bb38449033bba6a9909262f827bb009f4e58572b3ee087,pending,,,
2023ac32168c2605,1e595ee72419bd3a39dd8614,gt_275,montages/2023ac32168c2605.png,artifacts/2023ac32168c2605.npz,aa209ae01071c3049b38db99ef093a3bf56b15fe38333517f3090f696e7c31fc,pending,,,
22de7e2fc6929a2b,cf48e573ba3dcf754990c2d9,50_275,montages/22de7e2fc6929a2b.png,artifacts/22de7e2fc6929a2b.npz,fe4e1c5ab4144bd6affde409ebeb62ae2fe5f964ef2f8eb669e4933186f50fa2,pending,,,
2595dc08f249a861,f2049c363a5b3855725a7d0c,27_49,montages/2595dc08f249a861.png,artifacts/2595dc08f249a861.npz,f36a114aabc344cbdf95bf82cb9c95912ed9d917fb888c14644098555d8addcb,pending,,,
25cb99ac504aec84,0794bcd4db047f2c92cf79c6,50_275,montages/25cb99ac504aec84.png,artifacts/25cb99ac504aec84.npz,b128706c088dcda217e2b64b4a04dc866865e29cdb4346eb069f3f73e5f9e4f2,pending,,,
