metric,primary_endpoint,direction,rank,method,aggregate_mean
lesionwise_dsc_std_tc,False,lower_is_better,2,E,0.16913358856692276
lesionwise_hd95_mean_tc,True,lower_is_better,1,FixV3,66.08275522584375
lesionwise_hd95_mean_tc,True,lower_is_better,2,E,72.11288625989094
lesionwise_hd95_std_tc,False,lower_is_better,1,FixV3,62.89567975961407
lesionwise_hd95_std_tc,False,lower_is_better,2,E,70.06829929932026
lesionwise_nsd_mean_tc,True,higher_is_better,1,FixV3,0.7318872473601146
lesionwise_nsd_mean_tc,True,higher_is_better,2,E,0.7073413432582975
lesionwise_nsd_std_tc,False,lower_is_better,1,FixV3,0.16865639868939278
lesionwise_nsd_std_tc,False,lower_is_better,2,E,0.18051864882539623
small_instance_tp_tc,False,higher_is_better,1,E,1.5510204081632653
small_instance_tp_tc,False,higher_is_better,2,FixV3,1.469387755102041
small_instance_fn_tc,False,lower_is_better,1,E,5.3061224489795915
small_instance_fn_tc,False,lower_is_better,2,FixV3,5.387755102040816
small_instance_fp_tc,False,lower_is_better,1,FixV3,0.5306122448979592
small_instance_fp_tc,False,lower_is_better,2,E,0.5918367346938775
small_instance_f1_tc,True,higher_is_better,1,FixV3,0.32979294246748597
small_instance_f1_tc,True,higher_is_better,2,E,0.329684396504673
all_instance_tp_wt,False,higher_is_better,1,E,3.563106796116505
all_instance_tp_wt,False,higher_is_better,2,FixV3,3.563106796116505
all_instance_fp_wt,False,lower_is_better,1,E,0.6601941747572816
all_instance_fp_wt,False,lower_is_better,2,FixV3,0.6893203883495146
all_instance_fn_wt,False,lower_is_better,1,E,3.1553398058252426
all_instance_fn_wt,False,lower_is_better,2,FixV3,3.1553398058252426
all_instance_f1_wt,True,higher_is_better,1,E,0.7282567202487361
all_instance_f1_wt,True,higher_is_better,2,FixV3,0.7231357358681793
large_instance_tp_wt,False,higher_is_better,1,FixV3,2.9514563106796117
large_instance_tp_wt,False,higher_is_better,2,E,2.8932038834951457
large_instance_fp_wt,False,lower_is_better,1,E,0.6601941747572816
large_instance_fp_wt,False,lower_is_better,2,FixV3,0.6893203883495146
large_instance_fn_wt,False,lower_is_better,1,FixV3,0.9902912621359223
large_instance_fn_wt,False,lower_is_better,2,E,1.0485436893203883
large_instance_f1_wt,True,higher_is_better,1,E,0.6884717792347482
large_instance_f1_wt,True,higher_is_better,2,FixV3,0.6770117327208927
lesionwise_dsc_mean_wt,True,higher_is_better,1,E,0.6176131342350146
lesionwise_dsc_mean_wt,True,higher_is_better,2,FixV3,0.6113816529507445
lesionwise_dsc_std_wt,False,lower_is_better,1,E,0.185294910148216
lesionwise_dsc_std_wt,False,lower_is_better,2,FixV3,0.1971046829086513
lesionwise_hd95_mean_wt,True,lower_is_better,1,E,85.04732969601068
lesionwise_hd95_mean_wt,True,lower_is_better,2,FixV3,88.86324809160082
lesionwise_hd95_std_wt,False,lower_is_better,1,E,80.76650176965941
lesionwise_hd95_std_wt,False,lower_is_better,2,FixV3,87.31173434888944
lesionwise_nsd_mean_wt,True,higher_is_better,1,FixV3,0.6164643200428874
lesionwise_nsd_mean_wt,True,higher_is_better,2,E,0.6131125179172532
lesionwise_nsd_std_wt,False,lower_is_better,1,E,0.18844746110649974
lesionwise_nsd_std_wt,False,lower_is_better,2,FixV3,0.2000711152499905
small_instance_tp_wt,False,higher_is_better,1,E,1.1304347826086956
small_instance_tp_wt,False,higher_is_better,2,FixV3,1.065217391304348
small_instance_fn_wt,False,lower_is_better,1,E,5.086956521739131
small_instance_fn_wt,False,lower_is_better,2,FixV3,5.1521739130434785
small_instance_fp_wt,False,lower_is_better,1,E,0.7391304347826086
small_instance_fp_wt,False,lower_is_better,2,FixV3,0.9565217391304348
small_instance_f1_wt,True,higher_is_better,1,E,0.2946585812842902
small_instance_f1_wt,True,higher_is_better,2,FixV3,0.2719969647851513
